YearsExperience,EducationLevel,JobRole,Salary
13,PhD,Data Scientist,107741
11,PhD,Manager,97070
1,Master,Data Scientist,63460
30,Master,Data Scientist,139127
15,Bachelor,Data Scientist,89418
6,Bachelor,Data Scientist,61013
0,PhD,Software Engineer,52684
9,PhD,Data Scientist,97822
6,PhD,Analyst,77832
26,PhD,Analyst,142039
25,Bachelor,HR,97430
23,Bachelor,Data Scientist,113196
9,Master,Software Engineer,79409
11,Bachelor,Manager,82900
25,Bachelor,HR,104390
0,Master,HR,33567
19,Bachelor,Manager,100491
18,Master,Software Engineer,108744
15,Bachelor,Software Engineer,84267
7,Master,Data Scientist,74067
17,Master,Software Engineer,102134
12,Master,Software Engineer,83692
12,Bachelor,Data Scientist,82676
18,PhD,Software Engineer,121533
20,Master,HR,103948
11,Bachelor,Data Scientist,76728
18,Master,Analyst,88551
27,PhD,Data Scientist,142929
1,Bachelor,Software Engineer,38708
3,Master,Software Engineer,56503
8,Master,Data Scientist,76358
30,Master,Data Scientist,143452
21,PhD,HR,109360
5,PhD,HR,72266
7,Bachelor,HR,54129
13,PhD,Data Scientist,96493
18,PhD,Manager,121821
22,PhD,Software Engineer,126127
10,PhD,Data Scientist,95921
28,Master,HR,121978
29,Bachelor,HR,115486
3,Bachelor,HR,30664
14,PhD,Software Engineer,109144
1,Master,Analyst,41786
19,PhD,Manager,133297
13,Master,Software Engineer,97967
9,Master,Analyst,75363
8,Bachelor,Data Scientist,71924
21,Bachelor,Data Scientist,111191
8,Master,Manager,83751
15,Master,Analyst,94429
11,PhD,Software Engineer,94730
7,PhD,Analyst,81557
30,Master,Data Scientist,138724
0,PhD,Data Scientist,68393
4,PhD,HR,63891
1,PhD,Software Engineer,62081
22,Bachelor,Software Engineer,101366
5,PhD,HR,69491
0,Master,Analyst,45333
1,Bachelor,Analyst,39782
24,PhD,HR,127241
23,Master,Analyst,120554
1,Bachelor,Analyst,42447
21,Bachelor,Data Scientist,104992
29,PhD,HR,135846
9,Master,HR,67475
16,PhD,Manager,113872
18,Bachelor,HR,81224
9,Master,Data Scientist,78561
9,Bachelor,Data Scientist,63152
10,Bachelor,Manager,83549
1,Bachelor,Data Scientist,47664
11,Master,Analyst,76087
9,Bachelor,Software Engineer,61877
24,Master,Software Engineer,121430
26,Bachelor,HR,101022
30,Bachelor,HR,117834
15,Master,Analyst,88531
10,Master,Analyst,77612
5,Master,Data Scientist,70114
6,Master,Data Scientist,80624
25,Bachelor,Software Engineer,110956
15,PhD,Software Engineer,106665
0,Bachelor,Analyst,30839
6,Bachelor,HR,42981
24,PhD,Software Engineer,130429
18,Bachelor,Data Scientist,104602
12,Bachelor,HR,75576
26,PhD,Data Scientist,135126
24,Bachelor,Data Scientist,118358
20,Master,Data Scientist,120543
28,Bachelor,Analyst,110389
2,Master,Data Scientist,56231
29,PhD,Software Engineer,139065
5,Bachelor,Analyst,56606
25,Master,Manager,128849
13,Bachelor,HR,64493
17,PhD,HR,98255
21,Master,Manager,121151
3,PhD,HR,58149
21,Bachelor,Manager,124622
28,PhD,Manager,152098
27,Bachelor,Data Scientist,126567
25,Bachelor,HR,111723
20,Bachelor,Manager,106806
8,Bachelor,Software Engineer,53881
16,Master,Software Engineer,103532
20,Bachelor,Manager,102880
26,Master,Analyst,127825
14,PhD,HR,96906
11,Bachelor,Analyst,65955
23,Bachelor,Data Scientist,111386
20,PhD,Manager,133964
16,Bachelor,Software Engineer,84157
2,PhD,Data Scientist,77178
23,PhD,HR,122935
11,Bachelor,Manager,83930
21,Bachelor,Analyst,99617
18,Bachelor,HR,91506
24,PhD,HR,120645
25,Master,Analyst,122858
7,Master,Software Engineer,74687
5,Bachelor,Analyst,52560
23,Master,Analyst,108264
22,Bachelor,Analyst,103048
15,Master,Manager,108911
30,PhD,HR,136946
26,PhD,Analyst,134415
15,Bachelor,Software Engineer,89643
12,Bachelor,Analyst,70678
0,Master,Manager,60255
16,Bachelor,HR,95252
24,PhD,HR,113834
2,Master,Data Scientist,51669
3,Master,Data Scientist,64598
20,Bachelor,Data Scientist,98036
13,Master,Data Scientist,85574
0,Master,HR,33981
1,PhD,Software Engineer,63796
9,Master,Manager,83781
9,PhD,Analyst,85026
22,Bachelor,HR,104098
10,PhD,Analyst,94853
6,Bachelor,Analyst,50691
10,Master,Data Scientist,77791
24,Bachelor,Software Engineer,114194
10,PhD,Software Engineer,97320
2,Bachelor,Data Scientist,45658
20,Bachelor,HR,88621
5,Master,Analyst,52658
16,Bachelor,Software Engineer,90934
25,PhD,Data Scientist,144400
14,PhD,Software Engineer,93217
17,PhD,Software Engineer,104252
24,Master,Analyst,126936
2,PhD,Manager,78732
6,Master,Software Engineer,68774
1,Bachelor,Software Engineer,43787
29,Master,Manager,142228
15,Master,Manager,114857
10,Bachelor,Data Scientist,78684
14,PhD,Software Engineer,99700
15,Bachelor,Data Scientist,102598
19,Bachelor,Analyst,107357
30,PhD,Manager,158450
18,PhD,HR,95144
28,PhD,Software Engineer,140692
28,Bachelor,HR,112292
4,Bachelor,Software Engineer,54458
23,Master,Analyst,112963
19,PhD,Analyst,108057
10,PhD,HR,79477
30,PhD,Software Engineer,148351
8,Master,Manager,82484
15,Master,HR,83141
10,PhD,HR,79347
19,PhD,Manager,129386
15,Master,Manager,107862
12,Bachelor,Software Engineer,68974
23,Master,HR,112150
12,Bachelor,Data Scientist,84112
15,Bachelor,HR,75286
0,Master,Software Engineer,54247
10,PhD,HR,72474
21,Bachelor,Data Scientist,106365
16,Bachelor,Data Scientist,95080
28,Bachelor,HR,117252
26,PhD,HR,126598
7,Master,Data Scientist,63024
14,Bachelor,Manager,88031
25,PhD,Software Engineer,137486
17,PhD,HR,99658
3,PhD,Analyst,59954
28,Bachelor,Analyst,114849
30,Bachelor,Data Scientist,150916
19,Bachelor,Data Scientist,111149
26,Bachelor,HR,105499
23,Master,Manager,126825
11,PhD,Analyst,90711
18,Master,Software Engineer,93380
15,Master,Software Engineer,93608
11,Master,Data Scientist,83391
29,PhD,HR,144069
3,Bachelor,Analyst,46563
4,Bachelor,Manager,54446
0,PhD,Analyst,55254
6,Bachelor,Data Scientist,64142
13,Master,Manager,99163
1,Bachelor,Data Scientist,45995
16,PhD,Software Engineer,102477
27,Bachelor,Software Engineer,113952
25,PhD,Analyst,129314
10,Master,HR,70318
28,PhD,Data Scientist,148241
8,Bachelor,HR,47802
18,Master,HR,104567
8,Bachelor,Software Engineer,59627
25,PhD,Manager,142926
25,Master,Software Engineer,129785
1,PhD,Manager,75994
29,Bachelor,Software Engineer,130123
2,Bachelor,Analyst,37024
5,PhD,Software Engineer,70144
21,Bachelor,Software Engineer,106111
15,Bachelor,Manager,82369
11,PhD,Software Engineer,95360
24,Bachelor,Software Engineer,115142
10,Master,Manager,93065
22,Bachelor,Software Engineer,101680
27,Master,Analyst,123480
3,Master,Analyst,52289
0,Master,Software Engineer,58277
2,Bachelor,Analyst,40372
1,PhD,Software Engineer,62217
13,Bachelor,Analyst,80573
8,PhD,Analyst,80557
22,Bachelor,HR,94746
11,Master,Data Scientist,88789
27,Bachelor,Software Engineer,122082
16,PhD,Software Engineer,112827
12,PhD,Software Engineer,98297
26,PhD,Analyst,130193
18,Master,Software Engineer,96986
26,Master,Manager,129293
28,Bachelor,Data Scientist,128663
22,Bachelor,HR,92888
18,PhD,Analyst,107348
6,Master,Manager,75705
29,PhD,Data Scientist,158187
27,PhD,Manager,151062
18,Bachelor,Manager,94184
2,Bachelor,Data Scientist,45852
6,PhD,Software Engineer,78860
25,Bachelor,Analyst,107325
23,Master,Manager,136360
10,Bachelor,Software Engineer,67197
27,Master,Software Engineer,134196
10,PhD,HR,80210
27,Master,Data Scientist,130256
17,PhD,Analyst,109311
6,Bachelor,Manager,74002
4,PhD,Manager,88450
16,PhD,Data Scientist,114707
21,Master,Data Scientist,113214
30,Master,HR,139710
2,Master,HR,43820
15,Master,HR,89503
7,Bachelor,Manager,76762
0,PhD,Data Scientist,62963
26,PhD,Software Engineer,144014
15,Bachelor,Data Scientist,85284
17,Bachelor,Data Scientist,102030
21,Bachelor,Manager,115581
6,Bachelor,Manager,63339
21,Master,Manager,127495
21,Bachelor,Data Scientist,116442
15,Bachelor,Manager,92283
20,Bachelor,Manager,111049
30,Master,Data Scientist,153733
8,Bachelor,HR,43127
7,PhD,Data Scientist,81925
20,PhD,Data Scientist,133246
9,PhD,HR,75451
9,Master,Analyst,76383
10,Bachelor,Analyst,68099
30,PhD,HR,146955
18,Bachelor,HR,79183
23,Master,HR,110256
5,PhD,HR,52993
9,Master,Manager,89766
9,Master,Analyst,74407
30,Master,Analyst,129847
6,PhD,Software Engineer,82822
26,PhD,Manager,150392
30,PhD,Data Scientist,144444
21,Master,Analyst,103189
13,Bachelor,Software Engineer,83020
12,Bachelor,Manager,82906
15,Bachelor,Software Engineer,80429
16,PhD,Analyst,101495
7,Master,Manager,89055
7,Master,HR,56224
28,Master,HR,123026
7,Master,Software Engineer,67998
20,Bachelor,Analyst,100546
30,Bachelor,Manager,152449
6,Master,Analyst,55388
22,PhD,Data Scientist,125743
4,Bachelor,Manager,64115
16,Bachelor,Manager,97206
